Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6810611'],SUPPLEMENTARY IMPROVISATION OF KALPATARU (FOR DRY RATION STORAGE) AT ND(V),[1],Ministry of Defence Department of Military Affairs,2025-10-21T16:39:21Z,2025-10-21T16:39:21Z,No
['GEM/2025/B/6810360'],"netted visitor chair,visitor chair netted,revolving chairs,chairs revolving,bar stool revolving cha",[58],"Ministry of Ports, Shipping and Waterways NA",2025-10-21T16:38:09Z,2025-10-21T16:38:09Z,No
['GEM/2025/B/6810359'],Custom Bid for Services - Hiring of Multi utility Road vehicle  4 wheeler with 6 plus1 capacity tra,[1],Ministry of Railways Indian Railways,2025-10-22T11:52:41Z,2025-10-22T11:52:41Z,No
['GEM/2025/B/6810328'],"Body Worn Camera with pocket or shoulder clip,Body Worn Camera with shoulder clip or pocket,Camera ",[25],"Ministry of Ports, Shipping and Waterways NA",2025-10-21T18:03:05Z,2025-10-21T18:03:05Z,No
['GEM/2025/B/6810302'],Intrinsically Safe Battery for Motorola XiRP8668i,[16],Ministry of Petroleum and Natural Gas NA,2025-10-21T12:33:50Z,2025-10-21T12:33:50Z,No
['GEM/2025/B/6810202'],Monthly Basis Cab & Taxi Hiring Services - SUV; 2500 KM PER MONTH AND 30000 CUMMULATIVE KM PER YEAR,[1],Ministry of Railways Indian Railways,2025-10-21T17:06:17Z,2025-10-21T17:06:17Z,No
['GEM/2025/B/6809750'],Demineralised Water Bowser,[2],Ministry of Defence Department of Military Affairs,2025-10-21T10:39:48Z,2025-10-21T10:39:48Z,No
['GEM/2025/B/6809397'],"Perfumed Phenyl,Glass Cleaner,Hand wash cassets,Dish wash liquid,Washing Powder,Fabric Conditioner,",[779],Ministry of Commerce and Industry Department of Commerce,2025-10-23T10:38:41Z,2025-10-23T10:38:41Z,No
['GEM/2025/B/6808883'],"Fumehood,Scrubber,EDCE,P FC,F IC",[5],Ministry of Mines NA,2025-10-22T10:30:59Z,2025-10-22T10:30:59Z,No
['GEM/2025/B/6807716'],"Electrical Service wire,3 core 4 sqmm copper wire,7 20 single core wire,2 Point 5 sqmm Copper Wire,",[171],Ministry of Culture NA,2025-10-18T15:48:01Z,2025-10-18T15:48:01Z,No
['GEM/2025/B/6806308'],"Excavation,fabrication of steel,Straight through Joint,Indoor end,Outdoor end,laying 240 Sq.mm,Glan",[3205],"Ministry of Ports, Shipping and Waterways NA",2025-10-18T13:42:29Z,2025-10-18T13:42:29Z,No
['GEM/2025/B/6806263'],"a3clothcovers,a3paperbundels jkred75gsm,a4clothcovers,a4clothcoversenvalops,a4flatfileslaminated bl",[3958],Ministry of Micro Small and Medium Enterprises Ministry of Micro Small and Medium Enterprises,2025-10-18T11:06:46Z,2025-10-18T11:06:46Z,No
['GEM/2025/B/6805771'],"LEAD ACID BATTERY 88AH AS PER IS14257,LEAD ACID BATTERY 150AH AS PER IS14257,LEAD ACID BATTERY 180A",[106],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-18T09:26:08Z,2025-10-18T09:26:08Z,No
['GEM/2025/B/6805733'],"SEAMLESS CARBON STEEL PIPES SETS AS PER ANNEXURE-1, AS PER ASTM A106 GR-B & PRODUCT SPECIFICATION H",[9],Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,2025-10-18T09:10:32Z,2025-10-18T09:10:32Z,No
['GEM/2025/B/6805490'],ASUS Zenbook 14 UX3405CA,[3],Ministry of Labour and Employment NA,2025-10-20T16:17:03Z,2025-10-20T16:17:03Z,No
['GEM/2025/B/6804189'],"Coaxial cable, 50 Ohm, 10000V DC",[1200],PMO Department of Atomic Energy,2025-10-21T17:22:27Z,2025-10-21T17:22:27Z,No
['GEM/2025/B/6802520'],"MANUAL SEALER FOR STEEL STRAP,STRAP CUTTER FOR STEEL STRAP-HEAVY DUTY,TENSIONER FOR STEEL STRAP",[31],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-23T15:31:36Z,2025-10-23T15:31:36Z,No
['GEM/2025/B/6798411'],"COMPRESSED OXYGEN GAS,OXYGEN GAS COMPRESSED,OXYGEN GAS,COMPRESSED GAS,DISSOLVED ACETYLENE GAS",[3772],"Ministry of Ports, Shipping and Waterways NA",2025-10-22T18:57:12Z,2025-10-22T18:57:12Z,No
['GEM/2025/B/6642459'],"XL6 0044,34832 XL68009 XL68009,DD900806 DD900806 2,EA01623 DD900806 2,NA DE WM18B 1656,EA02351EA 02",[12],Ministry of Defence Department of Military Affairs,2025-10-21T16:45:50Z,2025-10-21T16:45:50Z,No
