Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6816537'],"Handling ,Transport and Other Mining Services - Percentage quote based - Handling & Transport Servi",[1],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-23T12:48:31Z,2025-10-23T12:48:31Z,No
['GEM/2025/B/6814928'],"PISTON SET STD,PISTON RING STD,VALVE INLET AND EXHAUST,ENGINE OH GASKIT COMPLET WITH CYLINDER HEAD ",[306],Ministry of Home Affairs Central Armed Police Forces,2025-10-22T19:23:55Z,2025-10-22T19:23:55Z,No
['GEM/2025/B/6813830'],Online UPS (>10 KVA) With Battery,[2],Ministry of Science and Technology Department of Scientific and Industrial Research (DSIR),2025-10-22T14:52:14Z,2025-10-22T14:52:14Z,No
['GEM/2025/B/6803613'],"Disposable Surgical Rubber Gloves (V2),Disposable Surgical Rubber Gloves (V2),Disposable Surgical R",[7998000],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-25T10:48:12Z,2025-10-25T10:48:12Z,No
['GEM/2025/B/6718223'],High End Ultrasound Unit with 3D & 4D Ultrasound for OPD X-Ray Section on Buy Back,[1],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-09-23T16:49:51Z,2025-09-23T16:49:51Z,No
['GEM/2025/B/6771911'],"Suction Machine inclusive two years of warranty,Extra Jars with each unit,Extra Coupling with each ",[23],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T10:42:06Z,2025-10-23T10:42:06Z,No
['GEM/2025/B/6767638'],Gel Imaging and Documentation System with 02 years of warranty and UPS as per technical specificati,[13],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-21T16:39:46Z,2025-10-21T16:39:46Z,No
['GEM/2025/B/6765620'],"product_1,product_2,product_3,product_4,product_5,product_6,product_7,product_8,product_9,product_1",[120000],Ministry of AYUSH Directorate of AYUSH Chandigarh Administration,2025-10-21T10:57:49Z,2025-10-21T10:57:49Z,No
['GEM/2025/B/6757887'],"Mechanical Ventilator,Disposable inbuilt dual heater wire and humidifier chamber ventilator circuit",[1063],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T16:02:09Z,2025-10-23T16:02:09Z,No
['GEM/2025/B/6749170'],Customized AMC/CMC for Pre-owned Products - STORED PRESSURE TYPE FIRE EXTINGUISHER Refilling 4kg in,[19822],Ministry of Railways Indian Railways,2025-10-22T16:01:31Z,2025-10-22T16:01:31Z,No
['GEM/2025/B/6745636'],"Surgical Speculum,Surgical Speculum",[72],Education Department Chandigarh,2025-10-23T15:09:55Z,2025-10-23T15:09:55Z,No
['GEM/2025/B/6738653'],"LED CEILING OT LIGHT WITH CAMERA,LED module,UPS,Batteries,CMC for first year,CMC for second year,CM",[21],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T10:56:21Z,2025-10-23T10:56:21Z,No
['GEM/2025/B/6738521'],"Head Light for Surgeon with battery, charge and cord,LED Bulb,Battery pack,Charger,Headset,CMC for ",[22],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T11:02:52Z,2025-10-23T11:02:52Z,No
['GEM/2025/B/6731397'],"VACCINE DTaP,MMR VACCINE,HEPATITIS A VACCINE",[434],Ministry of Defence Department of Military Affairs,2025-10-23T15:50:51Z,2025-10-23T15:50:51Z,No
['GEM/2025/B/6820774'],Inj Anti-Snake Venom Serum 10 ml vial (IV),[4500],Education Department Chandigarh,2025-10-24T15:23:43Z,2025-10-24T15:23:43Z,No
['GEM/2025/B/6820424'],"Security Manpower Service (Version 2.0) - Hotel, Banks; Armed Security Guard,Security Manpower Serv",[17],Ministry of Finance BANKING SECTOR,2025-10-24T18:52:32Z,2025-10-24T18:52:32Z,No
['GEM/2025/B/6820932'],"Warehousing Service - Per MT Basis - Food grain storage,Location SBS Nagar Banga capacity 60000:As ",[2],Agriculture Department Punjab,2025-10-24T14:52:17Z,2025-10-24T14:52:17Z,No
['GEM/2025/B/6820859'],"Warehousing Service - Per MT Basis - Food grain storage,Location Hoshiarpur Mukerian capacity 50000",[2],Agriculture Department Punjab,2025-10-24T14:38:36Z,2025-10-24T14:38:36Z,No
['GEM/2025/B/6824546'],Warehousing Service - Per MT Basis - Foodgrain Storage Jhajjar 60000 MT; As per MTF; Godown without,[120000],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-25T16:09:35Z,2025-10-25T16:09:35Z,No
['GEM/2025/B/6824414'],Warehousing Service - Per MT Basis - Foodgrain Storage Barara & Mullana 35000 MT; As per MTF; Godow,[70000],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-25T15:48:14Z,2025-10-25T15:48:14Z,No
['GEM/2025/B/6819947'],Amiodarone Injection (V2),[3000],Education Department Chandigarh,2025-10-24T12:27:16Z,2025-10-24T12:27:16Z,No
['GEM/2025/B/6819927'],"Handling ,Transport and Other Mining Services - Percentage quote based - Handling & Transport Servi",[1],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-24T12:17:30Z,2025-10-24T12:17:30Z,No
['GEM/2025/B/6823102'],GALVANIZED STEEL WIRE 0.285 mm,[61573],Ministry of Defence Department of Defence Production,2025-10-25T12:11:44Z,2025-10-25T12:11:44Z,No
