Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6786732,"Gloves for Divers,Swim Mask Silicon,Swim Fin Rubber,Under Water Torch Hand Held,Knife Swimmer light",7,Ministry of Defence Department of Military Affairs,2025-10-23 14:12:14Z,2025-10-23 14:12:14Z,No
GEM/2025/B/6785245,"EMERY PAPER, WATER PROOF, GRIT 220, SIZE 230X280MM,EMERY PAPER, WATER PROOF, GRIT 320, SIZE 230X280",8520,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-21 09:51:53Z,2025-10-21 09:51:53Z,No
GEM/2025/B/6782642,Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Others,3,Ministry of Defence Department of Defence,2025-10-23 09:58:29Z,2025-10-23 09:58:29Z,No
GEM/2025/B/6817385,"3000008,3000010,3000011,3000013,3000015,3000016",5430,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-23 15:31:01Z,2025-10-23 15:31:01Z,No
GEM/2025/B/6814432,"revolving chairs,revolving chair,revolvingchair,chairrevolving,chair revolving",35,"Ministry of Ports, Shipping and Waterways NA",2025-10-23 10:54:30Z,2025-10-23 10:54:30Z,No
GEM/2025/B/6813996,Custom Bid for Services - Arrangement of Inspection Vehicle,1,Ministry of Housing & Urban Affairs (MoHUA) Central Public Works Department,2025-10-22 15:39:54Z,2025-10-22 15:39:54Z,No
GEM/2025/B/6813909,"Smart TV- 65 Inch,Video Conferencing solution with required accessories,Distribution Switch 24 X 10",555,Ministry of Civil Aviation Airports Authority of India (AAI),2025-10-22 17:12:18Z,2025-10-22 17:12:18Z,No
GEM/2025/B/6813242,PRE-COMPLIANCE EMI RECEIVER,1,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,2025-10-22 14:15:01Z,2025-10-22 14:15:01Z,No
GEM/2025/B/6825015,Custom Bid for Services - Providing the Services of Multi Tasking Staff (MTS) and Watchman,1,Ministry of Housing & Urban Affairs (MoHUA) Central Public Works Department,2025-10-25 19:12:46Z,2025-10-25 19:12:46Z,No
GEM/2025/B/6779571,Procurement of Night Vision Goggles,1,Ministry of Defence Department of Defence,2025-10-25 10:22:20Z,2025-10-25 10:22:20Z,No
GEM/2025/B/6668463,Event or Seminar or Workshop or Exhibition or Expo Management Service - National; Local Sightseeing,1,Ministry of Defence Department of Military Affairs,2025-10-24 10:37:43Z,2025-10-24 10:37:43Z,No
GEM/2025/B/6815915,"Custom Bid for Services - Provision of rendering Data Entry Operation services at DYD, SCMN, VSKP, ",1,Ministry of Railways Indian Railways,2025-10-23 19:28:30Z,2025-10-23 19:28:30Z,No
GEM/2025/B/6799444,5 kVA UPS,4,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-25 13:07:19Z,2025-10-25 13:07:19Z,No
GEM/2025/B/6798875,All in One PC (V2),2,Ministry of Defence Department of Military Affairs,2025-10-24 13:48:39Z,2025-10-24 13:48:39Z,No
GEM/2025/B/6811419,Sodium silicate for CO&CCP,90000,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-25 17:51:38Z,2025-10-25 17:51:38Z,No
GEM/2025/B/6811271,"Custom Bid for Services - Reception, Housekeeping, Catering and Canteen Services",1,PMO Department of Atomic Energy,2025-10-24 10:33:27Z,2025-10-24 10:33:27Z,No
GEM/2025/B/6720090,DIGITAL BEHIND THE EAR VESUVIO XTM XP P4 (SIGNIA),6,Ministry of Defence Department of Military Affairs,2025-10-24 11:53:25Z,2025-10-24 11:53:25Z,No
GEM/2025/B/6783070,INDEGENOUS DRY GUNNING COMPOUND FOR COKE OVENS,150,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-24 12:47:02Z,2025-10-24 12:47:02Z,No
GEM/2025/B/6776374,Custom Bid for Services - PROVIDING LANDSCAPING AND ARBORICULTURE AT STF TOTAL PRICE,1,Ministry of Defence Department of Military Affairs,2025-10-22 16:59:07Z,2025-10-22 16:59:07Z,No
GEM/2025/B/6769477,"16 port NVR,PTZ Camera,IP66 Bullet Camera,10 TB surveillance HDD,49 inch LED smart TV with wall mou",1091,Ministry of Defence Department of Military Affairs,2025-10-22 12:05:46Z,2025-10-22 12:05:46Z,No
GEM/2025/B/6760672,PLC Based Control and Operating Panel,1,PMO Department of Atomic Energy,2025-10-21 14:18:48Z,2025-10-21 14:18:48Z,No
GEM/2025/B/6758978,"TERM BLK, TERMINAL BLOCK, 2.5MM² , 600V",2000,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-23 16:36:17Z,2025-10-23 16:36:17Z,No
GEM/2025/B/6748293,Custom Bid for Services - Outsourcing of Services for Renovation/Refurbishment of Wardroom,1,Ministry of Defence Department of Military Affairs,2025-10-23 00:09:25Z,2025-10-23 00:09:25Z,No
GEM/2025/B/6725188,"ANNUAL CONTRACT FOR SUPPLY OF KABULI CHANA 05 KGS,ANNUAL CONTRACT FOR SUPPLY OF KABULI CHANA 10 KGS",87190,Ministry of Defence Department of Military Affairs,2025-10-21 15:11:43Z,2025-10-21 15:11:43Z,No
GEM/2025/B/6820988,Custom Bid for Services - ----,1,"Ministry of Ports, Shipping and Waterways Dredging Corporation of India Limited",2025-10-24 15:26:24Z,2025-10-24 15:26:24Z,No
GEM/2025/B/6824701,Insulation Tester,1,PMO Department of Atomic Energy,2025-10-25 16:54:32Z,2025-10-25 16:54:32Z,No
GEM/2025/B/6819850,"TITANIUM PROXIMAL FEMORAL NAILS ASSORTED SIZES,TITANIUM LOCKING COMPRESSOR PLATES ASSORTED SIZES,PE",310,"Ministry of Ports, Shipping and Waterways NA",2025-10-24 18:49:34Z,2025-10-24 18:49:34Z,No
GEM/2025/B/6822520,Custom Bid for Services - Valuation of RINL-VSP Lands Located in Visakhapatnam,1,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-24 19:57:03Z,2025-10-24 19:57:03Z,No
GEM/2025/B/6817669,"COBALT BLUE GLASS FOR BF1 TUYERE,ROUND COBALT BLUE GLASS FOR BF 3 TUYERE",1500,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-25 17:41:04Z,2025-10-25 17:41:04Z,No
GEM/2025/B/6817568,"INJ METHOTREXATE 50MG,TAB MISOPROSTOL 200MCG,TAB MISOPROSTOL 25MCG,URINE PREGNANCY KIT",2730,Ministry of Defence Department of Military Affairs,2025-10-25 12:39:56Z,2025-10-25 12:39:56Z,No
GEM/2025/B/6817361,"DETERGENT SOAP 250GMS,250GMS DETERGENT SOAP,SOAP DETERGENT 250GMS,DETERGENT SOAP 250GMS BAR,DETERGE",27520,"Ministry of Ports, Shipping and Waterways NA",2025-10-24 14:31:34Z,2025-10-24 14:31:34Z,No
GEM/2025/B/6788527,Wide - Vision Goggles for Eye - Protector as per IS 5983,10000,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-24 17:09:37Z,2025-10-24 17:09:37Z,No
GEM/2025/B/6692770,"TENOFOVIR 300MG+ LAMIVUDINE 300MG+ DOLUTEGRAVIR 50MG (FDC),TENOFOVIR 300MG+ LAMIVUDINE 300MG+ EFAVI",7830,Ministry of Defence Department of Military Affairs,2025-10-24 11:34:08Z,2025-10-24 11:34:08Z,No
GEM/2025/B/6323376,Custom Bid for Services - Supply Installation and Commissioning of EMI EMC Test Facility as per MIL,1,Ministry of Defence Department of Defence Research & Development,2025-06-09 16:30:36Z,2025-06-09 16:30:36Z,No
GEM/2025/B/6797066,CUSTOMIZED 15 SEATER EXECUTIVE CLASSROOM TABLE WITH SEATING ARRANGEMENTS ALONG EACH TABLE WITH ELEC,3074,Ministry of Defence Department of Military Affairs,2025-10-23 09:42:18Z,2025-10-23 09:42:18Z,No
GEM/2025/B/6796078,"DRV, SPEED, VFD MODULE, 45KW/55KW,DRV, SPEED, VVVF, 3PH, 415V AC+ /-6% , 15KW",6,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-18 12:53:00Z,2025-10-18 12:53:00Z,No
GEM/2025/B/6795673,"3 Loading levels and 1000KGS UDL at 1st to 3rd levels, overall, dimensions 6880MMW X 3900MMH X 900 ",19,Ministry of Defence Department of Military Affairs,2025-10-23 09:41:21Z,2025-10-23 09:41:21Z,No
GEM/2025/B/6670743,"3028981_ PIPE, CS, SEAMLESS, 300MM, OXY, BLOWING, LANCE",200,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-21 15:58:32Z,2025-10-21 15:58:32Z,No
GEM/2025/B/6718487,"LAPTOP (NEW SURFACE 7TH EDITION, SNAPDRAGON PROCESSOR, WIN 11 HOME, COPILOT+ 15"" LCD PIXEL SENSE, 1",1,Ministry of Defence Department of Military Affairs,2025-10-23 09:46:32Z,2025-10-23 09:46:32Z,No
GEM/2025/B/6661221,"PSU WITH PART NO 61090026004,PSU WITH PART NO 61090026004,CP4 WITH PART NO 61090016008",3,Ministry of Defence Department of Military Affairs,2025-10-21 16:47:28Z,2025-10-21 16:47:28Z,No
