Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6738409,"CABLE ELECTRICAL TWIN & MULTICORE BUYTL (TWO CORE),CABLE WELDING COPPER NOMINAL AREA OF CONDUCTOR 5",2850,Ministry of Defence Department of Military Affairs,2025-10-21T10:21:40Z,2025-10-21T10:21:40Z,No
GEM/2025/B/6732433,"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - Refit of ICGS C-42",1,Ministry of Defence Department of Defence,2025-10-23T17:29:15Z,2025-10-23T17:29:15Z,No
GEM/2025/B/6819833,Portable Power Generators,4,Agriculture Department Andaman & Nicobar,2025-10-24T17:09:18Z,2025-10-24T17:09:18Z,No
GEM/2025/B/6822479,4517 SOLENOID COIL,15,Ministry of Defence Department of Military Affairs,2025-10-24T19:20:04Z,2025-10-24T19:20:04Z,No
GEM/2025/B/6821797,"Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,Stationary Valve Regulated Lead",5,Ministry of Defence Department of Military Affairs,2025-10-24T17:50:48Z,2025-10-24T17:50:48Z,No
GEM/2025/B/6821782,Dual Ear Wireless Headset with 1+ 1 Battery,2,Ministry of Information and Broadcasting Ministry of Information and Broadcasting,2025-10-24T17:31:14Z,2025-10-24T17:31:14Z,No
GEM/2025/B/6821352,"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - BSNL telephone exc",1,Ministry of Communications Department of Telecommunications (DOT),2025-10-24T16:12:37Z,2025-10-24T16:12:37Z,No
GEM/2025/B/6819618,Agricultural Trailer Complying to AIS 112,3,Agriculture Department Andaman & Nicobar,2025-10-24T17:10:14Z,2025-10-24T17:10:14Z,No
GEM/2025/B/6819282,CO2 ABSORBENT,300,Ministry of Defence Department of Military Affairs,2025-10-24T10:37:00Z,2025-10-24T10:37:00Z,No
GEM/2025/B/6819129,"Magnetic particle inspection equipment Yoke,Test bar,UV Torch,Charger for UV Torch,Fluorescent base",5,Ministry of Defence Department of Military Affairs,2025-10-24T10:41:02Z,2025-10-24T10:41:02Z,No
GEM/2025/B/6786656,"Monkey player,Pipe chain wrenge head style-hex,Pipe ratchet threader,Pipe die with handle maual typ",1227,Ministry of Home Affairs Women Safety Division,2025-10-24T16:16:49Z,2025-10-24T16:16:49Z,No
GEM/2025/B/6691098,Power Generator - DG Set (up to 900 KVA),2,Ministry of Home Affairs NA,2025-10-24T12:11:22Z,2025-10-24T12:11:22Z,No
GEM/2025/B/6796643,"PORTABLE VHF TX RX SET WITH BATTERY CHARGER AND ACCESSORIES,PORTABLE VHF TX RX SET WITH BATTERY CHA",9,Ministry of Defence Department of Defence,2025-10-21T20:45:08Z,2025-10-21T20:45:08Z,No
GEM/2025/B/6718696,"Fire Extinguisher CO2 4.5 KG,Fire Extinguisher ABC Powder 6 KG,Fire Buckets 10 ltr,Fire Bucket Stan",1140,Ministry of Home Affairs NA,2025-10-22T15:14:36Z,2025-10-22T15:14:36Z,No
