Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6843653,"Solar Water Heater,Chimney,Coolers,Dinner Thali,Spoons,Steel Glasses,Dinning Table Mats,Idli Maker,",255,Ministry of Defence Department of Military Affairs,2025-11-01T18:09:50Z,2025-11-01T18:09:50Z,No
GEM/2025/B/6843524,"White Board,Seating Bench,Wall Mounted Fans,Curtains Door,Curtain Rod with holder,Desert Coolers,Ce",133,Ministry of Defence Department of Military Affairs,2025-11-01T18:12:10Z,2025-11-01T18:12:10Z,No
GEM/2025/B/6779382,"Operation And Maintenance Of Other Machines And Plants - Final product handling, Painting of MS dru",1,PMO Department of Atomic Energy,2025-11-01T18:02:50Z,2025-11-01T18:02:50Z,No
GEM/2025/B/6849948,"SITC OF 6 KVA WITH EXTERNAL BATTERIES, 2 KVA, 1 KVA ONLINE UPS",4,Ministry of Defence Department of Defence Production,2025-11-03T16:04:45Z,2025-11-03T16:04:45Z,No
GEM/2025/B/6849856,"Electric Two Wheeler - Motorcycle, Scooter and Moped",1,Ministry of Defence Department of Military Affairs,2025-11-03T12:47:29Z,2025-11-03T12:47:29Z,No
GEM/2025/B/6833083,Monthly Basis Cab & Taxi Hiring Services - SUV; 2000 KM per month and 12 hours per day per vehicle;,1,Ministry of Railways Indian Railways,2025-11-03T12:45:21Z,2025-11-03T12:45:21Z,No
GEM/2025/B/6843804,Monthly Basis Cab & Taxi Hiring Services - Sedan; 1500 km x 320 hours; Local,2,Ministry of Water Resources River Development and Ganga Rejuvenation NA,2025-11-03T13:20:34Z,2025-11-03T13:20:34Z,No
GEM/2025/B/6842648,Modular Piano Type Domestic Electrical Switches as per IS 3854,2500,Ministry of Railways Indian Railways,2025-11-03T13:04:33Z,2025-11-03T13:04:33Z,No
GEM/2025/B/6850542,End Point Protection Software / Appliances (V3),300,Information Technology Electronics and Communications Department Telangana,2025-11-03T13:40:41Z,2025-11-03T13:40:41Z,No
GEM/2025/B/6851420,Operation and  Maintenance Services of Power Generator(DG-Set) - Package 2 - O&M Service with opera,1,Ministry of Commerce and Industry Department of Commerce,2025-11-03T15:53:54Z,2025-11-03T15:53:54Z,No
GEM/2025/B/6851220,THREE TONNE FORKLIFT WITH GOOSE NECK CRANE ATTACHMENT,1,Ministry of Defence Department of Defence Production,2025-11-03T16:17:42Z,2025-11-03T16:17:42Z,No
GEM/2025/B/6840700,Mitcorp make HD boroscope of 3m length with articulation and front and side view cameras,1,PMO Department of Atomic Energy,2025-11-03T16:24:24Z,2025-11-03T16:24:24Z,No
