Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6716128,Water Seal Drum,1,PMO Department of Atomic Energy,2025-11-01T15:06:17Z,2025-11-01T15:06:17Z,No
GEM/2025/B/6842947,"Hinge Pin assembly,Phosphorous Bronze bush for hinge pin assembly",250,PMO Department of Atomic Energy,2025-11-01T15:20:26Z,2025-11-01T15:20:26Z,No
GEM/2025/B/6842804,Rotary Gear Pump,2,PMO Department of Atomic Energy,2025-11-01T15:16:57Z,2025-11-01T15:16:57Z,No
GEM/2025/B/6859098,Monthly Basis Cab & Taxi Hiring Services - SUV; 2000 km x 320 hours; Local 24*7,1,Ministry of Finance Department of Revenue,2025-11-05T20:26:06Z,2025-11-05T20:26:06Z,No
GEM/2025/B/6857752,"Water Proof Emery Paper Grit-400, Size: 230 X 280,Water Proof Emery Paper Grit-600, Size: 230 X 280",3000,PMO Department of Atomic Energy,2025-11-06T15:21:55Z,2025-11-06T15:21:55Z,No
GEM/2025/B/6857569,"Emery Cloth,Emery Cloth,Emery Cloth",1500,PMO Department of Atomic Energy,2025-11-06T15:25:35Z,2025-11-06T15:25:35Z,No
GEM/2025/B/6853812,"25 mm ID and 4 mm wall thickness be transparent, Nylon Braided PVC Hose pipe,20 mm ID and 4 mm wall",1060,PMO Department of Atomic Energy,2025-11-06T15:15:52Z,2025-11-06T15:15:52Z,No
GEM/2025/B/6833996,"Custom Bid for Services - TRANSPORTATION OF ENRICHED KBF4 FROM HEAVY WATER BOARD FACILITIES, TALCHE",1,PMO Department of Atomic Energy,2025-10-29T11:22:08Z,2025-10-29T11:22:08Z,No
GEM/2025/B/6827010,Custom Bid for Services - Custom Bid for Services LDO,1,PMO Department of Atomic Energy,2025-10-29T16:52:03Z,2025-10-29T16:52:03Z,No
GEM/2025/B/6821432,"Shaft for PA Fan Impeller as per Drawing No. HWPM/MU/400, Rev No. 2 and Detailed as per specificati",4,PMO Department of Atomic Energy,2025-10-29T16:57:18Z,2025-10-29T16:57:18Z,No
GEM/2025/B/6829747,"LEAD ACID BATTERIES OF 12 VOLTS-60 AMPS FOR 2014 MODEL SWIFT DZIRE ZDI OF EXIDE MAKE,LEAD ACID BATT",20,PMO Department of Atomic Energy,2025-10-29T17:00:23Z,2025-10-29T17:00:23Z,No
GEM/2025/B/6731440,PRINTING AND SUPPLY OF CALICO BOUND RULED REGISTER 1 QUIRE 96 PAGES SIZE 210 mm x 310 mm PAPER 70 G,2600,PMO Department of Atomic Energy,2025-10-29T17:08:29Z,2025-10-29T17:08:29Z,No
GEM/2025/B/6682342,Supply Supervision E&C of Gypsum Dewatering system for TSGENCO 1X800MW Kothagudem FGD Project,1,Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,2025-09-14T11:45:12Z,2025-09-14T11:45:12Z,No
GEM/2025/B/6849502,½ ’ ’ NB NPT Screwed End Thermodynamic Stream Trap For High Pressure Steam Service As Per Anne,35,PMO Department of Atomic Energy,2025-11-04T12:07:01Z,2025-11-04T12:07:01Z,No
GEM/2025/B/6846406,"NICKEL-201 RODS OF 275 MM as per technical specification and drawing enclosed,NICKEL-201 RODS OF 54",390,PMO Department of Atomic Energy,2025-11-04T12:04:37Z,2025-11-04T12:04:37Z,No
GEM/2025/B/6774223,"Port Fast Ethernet PoE Switch with 2 Gigabit Uplink,RJ-45 Based Surge Suppressor",10,PMO Department of Atomic Energy,2025-10-22T11:55:29Z,2025-10-22T11:55:29Z,No
GEM/2025/B/6846879,"Ungulvanised Steel Wire Rope Pre-formed 36mm Dia,Ungulvanised Steel Wire Rope Pre-formed 52mm Dia",350,PMO Department of Atomic Energy,2025-11-03T15:27:35Z,2025-11-03T15:27:35Z,No
GEM/2025/B/6770868,"Filter element p.no N25326,O ring p.no N4058,Gasket, p.no 77774,O ring p.no N25327,O ring p.no N348",22,PMO Department of Atomic Energy,2025-10-16T11:50:50Z,2025-10-16T11:50:50Z,No
GEM/2025/B/6735542,Shaft Sleeve for Clinker Grinder as per drawing no HWPM/MU/535. Rev-0 and Annexure TS,52,PMO Department of Atomic Energy,2025-10-06T11:02:33Z,2025-10-06T11:02:33Z,No
GEM/2025/B/6735542,Shaft Sleeve for Clinker Grinder as per drawing no HWPM/MU/535. Rev-0 and Annexure TS,52,PMO Department of Atomic Energy,2025-10-06T11:02:33Z,2025-10-06T11:02:33Z,No
GEM/2025/B/6857704,"Optimax Foot Mounted Gear Box Size: R93.53 ZDCRC suitable for 0.1 HP at 0.29 RPM as per anneuxre,Op",30,PMO Department of Atomic Energy,2025-11-07T17:32:52Z,2025-11-07T17:32:52Z,No
GEM/2025/B/6855785,Pipe MS ERW with Plain Ends as per annexure attached,624,PMO Department of Atomic Energy,2025-11-07T17:37:40Z,2025-11-07T17:37:40Z,No
GEM/2025/B/6826290,Supply of Ultra Pure Helium Gas in Supplier’ s Cylinders as and when required basis within a 24Mo,9,PMO Department of Atomic Energy,2025-11-08T16:02:32Z,2025-11-08T16:02:32Z,No
GEM/2025/B/6861795,"HP Seal Rings For 12-K-101 To 104 Gas Boosters As Per Drawing No. HWPM/MP/205,LP Seal Rings For 12-",23,PMO Department of Atomic Energy,2025-11-08T17:04:49Z,2025-11-08T17:04:49Z,No
GEM/2025/B/6860880,PA handset (VWMS 2021),7,PMO Department of Atomic Energy,2025-11-08T17:08:19Z,2025-11-08T17:08:19Z,No
